Name,Homeworld,Born,Died,Species,Gender,Height,Mass,Hair color,Eye color,Skin color,Cybernetics,Affiliation(s),Masters,Apprentices
Kindra Gann,,,,Human,Female,,,Brown,Brown,Tan,,,,
Ganner,,,,Human,Male,,,Blond,Brown,Light,,Galactic EmpireImperial Ruling Council,,
Ganno,,,,Human[1],Male[1],,,Brown[1],Blue[1],Light[1],,Galactic Republic[1],,
Ganron,,,"3643 BBY, Alderaan[1]",Human[1],Male[1],,,,Brown[1],Tan[1],,House Thul[1],,
Gant,Almania,,,Human,Male,,,,,,,KuellerAlmanian Government,,
Ganthus,,,"3642 BBY, onboard King's Ransom[1]",Human[1],Male[1],,,Brown[1],Blue[1],Fair[1],,Sith Empire[1],,
Gantlo,,,,Human[1],Male[1],,,,,,,Galactic Empire[1],,
Tobin Gantor,,,,Human,Male,,,,,,,,,
Gantoris,Eol Sha[1],,"11 ABY, Yavin 4[2]",Human[3],Male[3],,,Black[3],,,,New Jedi Order[3]New Republic[3],Luke Skywalker (Jedi Master)[3]Exar Kun (Sith Master)[2],
Gantrell,,,,Human,Male,,Slight build,Gray,Light blue,Fair,,Galactic Republic,,
Mellona Gantrolo,,,,Human,Female,,,,,,,House Mecetti (Married to a Pelagian noble),,
Gar  (Annoo),Annoo,,,Human,Male,,,,,,,Annoo resistance,,
Gar  (Dantooine),Dantooine,,,Human,Male,,,Red,Green,Fair,,,,
Gar  (human),,,Sometime after[1] 19 BBY[source?],Human[2],Male[2],,,"Black,[2] later white[1]",Black[2],Dark[2],,,,
Gar  (lieutenant),,,,Human,Male,,,,,,,Galactic EmpireBlack Sword Command,,
Eren Garai,,,,Human,Male,,,Bald,Brown,Light,Borg Construct Aj^6,Galactic EmpireISB,,
Noval Garaint,,,,Human[1],Male[1],,,Gold-blond[1],Blue[1],,,Bounty hunter[2]Ragnar Syndicate[3]Horch of Kheedar's criminal empire[1],,
Yirpa Garajon,Savareen[1],,,Human (Savarian)[1],Female[1],,,Brown[1],Brown[1],Tan[1],,,,
Zorajas Garamin,,,,Human[1],Male[1],,,Blond[1],Dark green[1],Fair[1],,,,
Lanzora Garan,,,,Human[1],Female[1],,,Black[1],Brown[1],Tan[1],,First Order[1]First Order military[1],,
Jeyo Garanam,,,,Human[1],Male[1],,,Black[1],,Dark[1],,Resistance[1]Resistance Starfighter Corps[1],,
Garault,,,"c. 3636 BBY,[1] Ziost[2]",Human[3],Male[3],,,Brown[2],Blue (White while possessed)[2],Light[2],,Jedi Order[3]Republic Strategic Information Service[2]Sixth Line[2],,
Garboza,,,,Human,Male,,,Black,Brown,Dark,,Sith Empire,,
Garcy,Phaeda,,,Human,Male,,,,,,,Galactic RepublicPhaeda militia,,
Gardit,,,,Human[1],Male[1],,,Dark brown[1],Blue[1],Tan[1],,Galactic Republic[1]Republic Military[1],,
Garee,,,,Human,Male,,,,,,,Thaereian military,,
Garen,,,,Human,,,,,,,,Galactic Republic,,
Sidonie Garen,,,,Human,Female,,,Black,Dark blue,Light,,Jedi OrderGalactic Republic,,
Gareth  (TK329's son),,,,Human[1][2],Male[3],,,,,,,,,
Gargovik,,,,Human[1],,,,,,,,Galactic Empire[2]Squadron Three[2],,
Gargun,,,"c. 3643 BBY, Dromund Kaas[1]",Human[1],Male[1],,,Brown[1],Blue[1],Light[1],,Sith Empire[1]Imperial Military[1],,
Garik  (major),,,,Human,Male,,,Black,Brown,Tan,,Galactic Republic,,
Garin,,,,,,,,,,,,,,
Ansiv Garmuth,,,,Human[1],Male[1],,,Brown[1],Dark[1],Light[1],,First Order[1]First Order Security Bureau[1],,
Olin Garn,,,,Human[1],Male[1],,,,,Dark[1],,Azzameen family[1]Rebel Alliance[2],,
Prellon Garn,,,,Human[1],Male[1],,,Black[1],Brown[1],Tan[1],,Republic Strategic Information Service[1],,
Neena Garnet,,,,,,,,,,,,,,
Roark Garnet,,,,Human[1],Male[1],,,Brown[1],Brown[1],Light[1],,Alliance to Restore the Republic[1],,
Garnt,,,,,,,,,,,,,,
Garold,,,"3642 BBY, Cademimu V[1]",Human[1],Male[1],,,Brown[1],,Dark[1],,Mantellian Separatist Movement[1],,
Garonnin,,38 BBY[1],12 ABY on Belsavis[2],Human[2],Male[2],,,,,,,House Garonnin[2],,
Garouk,Taris[1],Before 4000 BBY[1],,Human[2],Male[2],,,Gray[2],Gray[2],Light[2],,,,
Faltun Garr,,,,Human,Male,,,,,,,Galactic Empire,,
Garragor,,,3963 BBY,Human,Male,,,Gray,,,,Jedi OrderGalactic RepublicJedi Covenant,,
Luthos Garral,,,,Human,Male,,,,,,,Galactic Empire,,
Garray,Abregado-rae,,,Human,Male,,,,,,,Galactic Federation of Free Alliances,,
Garren,Cularin,,,Human,Male,,,,,,,Borus's Boys,,
Ara Garren,,,,Human[1],Female[1],,,,,,,Galactic Empire[1],,
Xun Garret,,,,Human[1],Male[1],,,,,,,Galactic Empire[1],,
Garrett  (captain),,,"3640 BBY,[1] Corellia[2]",Human[2],Male[2],,,Brown[2],Blue[2],Fair[2],,Sith Empire[2]Imperial Military[2],,
Garrett  (mercenary),,,,Human,Male,,,,,,,,,
Garrick,Tatooine[1],,,Human[1],Male[1],,,Brown[1],Brown[1],,,,,
Garro,Unidentified planet[1],Before 32 BBY[2],"0 ABY, unidentified planet[3]",Human[4],Male[1],,,Brown[4],Brown[1],Gray[4],,Rockhawkers[4],,Yoda (stonepower apprentice)[1]
Egan Garrud,Corellia[1],,"Between 0 ABY and 3 ABY, Corellia[1]",Human[1],Male[1],,,Brown[1],Brown[1],Fair[1],,Imperial Transport Commission[1],,
Garrum,,,,Human[1],Male[1],,,Brown[1],Gray[1],Fair[1],,Galactic Republic[1]Republic Special Forces Division[1],,
Garryg,,,"3 ABY, Abridon",Human,Male,,,,,,,Galactic EmpireTulon's task force,,
Garsi,,,,Human,Male,,,,,,,Galactic Federation of Free AlliancesGalactic Alliance Guard,,
Okadiah Garson,,,"11 BBY,[1] Cynda[2]",Human[2],Male[2],,,White[2],,,,Moonglow Polychemical[2]The Asteroid Belt[2],,
Gart  (Human),,,,,,,,,,,,,,
Breth Gart,Agamar[1],c. 16 BBY[2],0 BBY[3],,Male[1],,,Black[1],,,,Agamar Resistance[1]Rebel Alliance[1]Red Squadron[1],,
Ep Gart,Tatooine,,,Human,Male,,,Black,,,,,,
Kurksel Gartfran,,,,Human[1],Male[1],,,Gray[1],,Tan[1],,Resistance[1],,
Garus,,,,Human,Male,,,White,Brown,Tan,,Sith EmpireImperial Army,,
Garve,,,,Human,Male,,,Red,,,,Galactic EmpireAlliance to Restore the Republic,,
Garvedon,,,,Human,Male,,,,,,,Galactic Republic,,
Garvimm,,,,Human[1],Female[1],,,Brown[1],,Fair[1],,Sith Empire[1],,
Alexi Garyn,Ralltiir[1],,"33 BBY (2:10 GrS), Ralltiir[1]",Human[2],Male[2],,,Blond[2],Blue[2],Fair[2],,Black Sun[2],,
Elin Garza,Coruscant[1],c. 3696 BBY[2],,Human[1],Female[1],,,White[1],Blue[1],Light[1],,Galactic Republic[1]Elin Garza's platoon[2]Republic Special Forces Division[1],,
Edda Gast,Saffalore,,,Human,Female,,,Dark,Dark,,,Galactic EmpireZsinj's Empire,,
Tuzin Gast,Saffalore,,c. 5.5 ABY[1],Human,Male,,,,,,,Galactic EmpireProject ChubarZsinj's EmpireBinring Biomedical Product,,
Vincent Gatharard,Coruscant,,,Human,Male,,,,,,,Galactic Empire,,
Gatheri,,,,Human[1],Male[1],,,,Brown[1],Tan[1],,House of Thul[1],,
Resh Gatonne,,,,Human,Male,,,,,,,,,
Yarr Gatonne,Bonadan[1],28 BBY[2],,Human[1],Male[1],1.8 meters[1],,Fair[1],,,Neuro-Saav Hifold Sensory Package[1],,Resh Gatonne[3],
Gattan,,,"c. 3642 BBY, Taral V",Human,Male,,,Dark,Green,Light,,Sith Empire,,
Gatterweld,,,,Human,Male,,,Black,,,,Galactic EmpireZsinj's Empire,,
Pedrin Gaul,Denon[1],,"0 BBY,[1] Scarif[2]",Human[2],Male[2],,,Black,Brown,Light[2],,Alliance to Restore the Republic[2]Red Squadron[2],,Harb Binli[3]
Liselle Gault,,,,,,,,,,,,,,
Mullen Gault,Tatooine,"44 BBY, Tatooine","19 BBY, Tatooine",Human,Male,,,Black,Blue,Light,,Moisture farmer,,
Orrin Gault,Tatooine[1],"c. 69 BBY, Tatooine[1]",19 BBY[1],Human[1],Male[1],,,Black (Graying),Blue,Light,,Settlers' Call Fund[1]A'Yark's tribe (Captive)[1],,
Varan Gault,Tatooine[1],"40 BBY, Tatooine[1]","24 BBY, Tatooine[1]",Human[1],Male[1],,,,,,,Moisture farmer[1],,
Veeka Gault,Tatooine,"40 BBY, Tatooine",,Human,Female,,,,,,,Moisture farmer,,
Dan G'vash,,,,Human[1],Male[1],,,Black[2],Blue[2],Dark[2],,Jedi Order[1],Tajin Crosser[3],
Bowman Gavin,,,,Human,Male,,,,,,,Alliance to Restore the RepublicBlue SquadronNew RepublicNew Republic Fifth Battle Group,,
Niles Gavla,,,"0 BBY,[1] Scarif[2]",Human[3],Male[3],,,,,,,Galactic Empire[3]Imperial Military[3]Imperial Officer Corps[3],,
Marcus Gaw,,,"1 ABY,[1] Naboo[2]",Human[2],Male[2],,,Brown[2],,Light[2],,Darkwalkers[2],,
Solon Gaw,,,"1 ABY,[1] Naboo[2]",Human[2],Male[2],,,,,Light[2],,Darkwalkers[2],,
Fillan Gawash,,,,Human[1],Male[1],,,Gray[1],Green[1],Light[1],,,,
Myrla Gawash,,,,Human[1],Female[1],,,Gray[1],Green[1],Light[1],,,,
Roop Gawash,,,,Human[1],Male[1],,,Brown[1],Green[1],Light[1],,,,
Idrosen Gawat,,,"34 ABY,[1] Raddus,[2][3] Oetchi system[4]",Human,Male[2],,,White[2],Brown[2],Tanned[2],,Mykapo system planetary defense forces (retired)[3]Resistance[2]Fleet Command[3],,
Brudi Gayn,,,,Human,Male,,,Black,,,,,,
Gaza,Herdessa,,,Human,Male,,,Black,Brown,,,Herdessan GuildGalactic Empire,,
GD-40-3,,,,Human,Male,,,,,,,Galactic Empire,,
Geates,,,,Human,Male,,,Brown (mustache),Blue,Fair,,Sith EmpireImperial Military,,
Perwin Gedde,,,"5 ABY,[1] Halo[2]",Human[2],Male[2],,,,,,,Galactic Empire[2]Imperial Navy's officer corps[2],,
Myrum Geddis,,,,,,,,,,,,,,
Locus Geen,,c. 86 BBY[1],,Human[1],Male[1],,,Bald[1],,,,Galactic Republic[1]Grand Army of the Republic[1]Alliance to Restore the Republic[1],,
Geenor,Ceriun[1],,"c. 1000 BBY, Ceriun",Human[1],Male[1],,,Black,Brown,,,,,
Rex Geer,Nal Hutta,,,Human,Male,,,Black,Green,Fair,,Nem'ro's gang,,
Geffen,,,,Human,Male,,,,,,,Galactic EmpireImperial Navy,,
Bandy Geffer,Bespin,,,Human,Male,,,Black,,,,New Jedi Order,,
Gegak,,,,Human,Male,,,,,,,Galactic EmpireConstitutional Protectorate of PrakithGrand Imperial Navy,,
Gegorran,Onderon,,,Human,Male,,,Black,Brown,,,Merchant Quarter,,
Irem Gehldon,Chandrila,,,Human,Male,,,,,,,,,
Murbek Gehn,,,,Human,Male,,,Gray,Brown,Dark,,Sith Empire,,
Kalisa Gehnso,,,,Human[1],Female[1],,,Black[1],Brown[1],Brown[1],,Jedi Order[1]Galactic Republic[1],,Kalisa Gehnso's Padawan
Geist,,,"138 ABY, Taivas[1]",Human[2],Male[2],,,Black[3],Golden[3],Dark[3],,Fel Empire[2]Moff Council[3]Imperial Army[3][4]Darth Krayt's Galactic Empire[2]Moff Council[3]Imperial Army[4],,
Geiz,,,,Human[1],Male[1],,,Blond[1],Blue[1],Light[1],,Galactic Republic[1]Republic Army[1]Yavin Coalition[1],,
Dur Gejjen,Corellia[1],"15 ABY (50),[source?] Corellia[1]","40 ABY (75),[source?] Vulpter[2]",Human[1],Male[1],,,Black[1],,,,Five Worlds[3]Democratic Alliance[1],,
Nov Gejjen,Corellia,,c.40 ABY,Human,Male,,,,,,,,,
Gel,,Between 67 BBY and 62 BBY[1],"3 ABY,[1] Dalicron-4[2]",Human[2],Male[2],,,,,,,Jedi Order[2]Galactic Republic[2],,
S. Geland,,,"c. 3641 BBY, Belsavis",Human,Male,,,Brown,Green,Light,,Sith EmpireChildren of the EmperorGalactic Republic,,
Gelba,Doan,,"980 BBY, Doan",Human,Female,Short,,,,,,Doan mining caste,,
Gelesi,Onderon[1],,,Human[1],Male[1],,,Brown[1],Green[1],Fair[1],,Onderonian military[1]Onderon Royalists[1],,
Camron Gelorik,Sundari,,,Human,Male,,,,,,,SundarsCommittee of Seven for Garosian Unification,,
Gelrood,Taris,,,Human,Male,,,Black,Blue,Light,,,,
Gemmy,Haruun Kal,,,Human,Female,,,,,,,Balawai,,
Cedral Gend,,,,Human[1],Male[1],,,Bald (grey beard)[1],Green[1],Fair[1],,Jedi Order[1]Jedi High Council[1]Galactic Republic[1],,
Yun Genda,,,3956 BBY (Presumed),Human,Male,,,Black,Blue,,,Sith Empire,,
Gendar,Taris[1],,,Human[1],Male[1],,,Black[1],Brown[1],Brown[1],,Outcasts,,
Iolan Gendarr,Commenor[1],37 BBY[1],,Human[1],Male[1],1.75 meters[1],,,,,,Galactic Empire[1]Imperial Navy[1],,
Lohn Genden,Alderaan[1],47 BBY[1],,Human[1],Male[1],1.8 meters[1],,,,,,,,
Carlou Gendling,,,,Human[1],Male[1],,,,,,,Galactic Empire[1]Carlou Gendling's task force[1]Imperial Navy's officer corps[1],,
Generet,,,"Between 0 ABY and 3 ABY, Dac[1]","Human, surgically altered to resemble a Mon Calamari[1]",Male[1],,,,,,,Galactic Empire[1]Imperial Intelligence[1]Destabilization[1],,
Karli genFries,,,,Human[1],,,,,,,,Galactic Empire[2]204th Imperial Fighter Wing[2],,
Genial,,,"34 ABY,[1] Corellia[2]",Human[2],Male[2],,,Yellow[2],Blue[2],,,First Order[2]Reform Office[2],,
Phee Genoa,,,,Human[1],Female[2],,,Black[1],Brown[1],Brown[1],,,,
Genogri,Taloraan,,,Human,Male,,,,,,,Wind Raiders,,
Gentis,,,"19 BBY, Coruscant",Human,Male,,,Red,Blue,Fair,,Galactic RepublicGalactic Empire,,
Caul Gentis,,,"19 BBY, Coruscant",Human,Male,,,Blond,,Fair,,Galactic EmpireRaithal Academy,,
Sathina Genz,,,,Human,Female,,,,,,,Sith EmpireImperial Intelligence,,
Geozel,,,,Human[1],Male[1],,,Black[1],Brown[1],Brown[1],,Galactic Republic (formerly)[1]Republic Military (formerly)[1],,
Krintle Gera,,,,Human,Male,,,White,Brown,Dark,,Sith Empire,,
Jaldine Gerams,Fresia[1],Around 60 BBY[2],,Human[1],Female[1],,,Blonde[1],Blue[1],Light[1],,Alliance to Restore the Republic[3]Blue Squadron[3],,
Gerata,,,,Human[1],Male[1],,,Brown[1],Brown[1],Fair[1],,Jedi Order[1],,
Gerd,Apatros[1],,,Human[1],Male[1],,,,,,,Outer Rim Oreworks Company[1],,
Gerdy,,,,Human[1],Male[1],,,,,,,Galactic Empire[1],,
Silas Gerenz,,,,Human,Male,,,White,,Tan,,,,
Selnia Gergeroe,,,,Human,Female,,,,,,,Galactic Empire,,
Geric  (Coruscant),,,,Human,Male,,,,,,,Galactic EmpireSub-Adult GroupCompForce,,
Geric  (Hutta),Nal Hutta[1],,,Human[1],Male[1],,,White (balding)[1],Blue[1],Pale[1],,Sith Empire[1],,
Geriel,Nar Shaddaa[1],,,Human[1],Male[1],,,Red[1],Green[1],Light[1],,Nar Shaddaa refugees[1],,
Gerind,,,,Human[1],Male[1],,,,,,,Alliance to Restore the Republic[1]Alliance Intelligence[1],,
Gerlun,,,"137 ABY, Prakith",Human,Male,,,Black,Red,,,Malevolence Cult,Darth Andeddu,
Geronti,,,,Human,Male,,,,,,,Galactic EmpireImperial Navy,,
Gerr,,,"c. 3643 BBY, Korriban[1]",Human[1],Male[1],,,Black[1],Brown[1],Light[1],,Sith Empire[1],,
Gerran,Doan,,980 BBY,Human,Male,,,,,,,Doan Royal House,,
Gerrard,,,"3643 BBY,[1] Taris[2]",Human[2],Male[2],,,Black[2],Black[2],Dark[2],,Sith Empire[2]Imperial Military[2],,
Drac Gerrat,Dorumaa,,,Human,Male,,,,,,,Icon,,
Saw Gerrera,Onderon[1],,"0 BBY, Jedha[2]",Human[3] (Onderonian)[1],Male[4],1.80 meters[5],,Black; with orange stripe;[6] later graying; no orange stripe[7],Blue;[1] later green;[8] later brown[2],Dark[2],Cybernetic right leg[9]Oxygen respirator[10]Pressurized suit of armor[5]Reinforced lungs[5],Onderon rebels[11]Galactic Republic[12]Royal Court of Onderon[13]Royal Onderon Militia[12]Partisans[14]Alliance to Restore the Republic[1],,Jyn Erso (Protégé)[15]Reece Tallent (Protégé)[15]
Steela Gerrera,Onderon[1],,"20 BBY,[2] Onderon[3]",Human (Onderonian)[4],Female[4],"1.79 meters (5 ft, 10 in)[5]",,Black[4],Teal[4],Dark[4],,Onderon rebels[4]Galactic Republic[4]Royal Court of Onderon[3]Royal Onderon Militia[3],,
Gerrick,,,,Human[1],Male[1],,,,,,,Jedi Order[1],,
Gerro,,,,Human[1],Female[1],Short[1],,,,,,,,
Kelsa Gerro,,,"c. 3641 BBY, Belsavis",Human,Female,,,Black,Brown,Brown,,Galactic RepublicRepublic Military,,
Gesen,Korriban,,,Human,Male,,,Brown,,Dark,,Sith Empire,,
Mils Gessak,,,,Human,Male,,,,,,,Alliance to Restore the Republic,,
Donta Gesset,,,,Human (Naboo)[1],Male[1],,,Black[1],Brown,Dark,,Royal House of Naboo[1],,
Fallanter Gest,,,,Human[1],Male[1],,,Black[1],Brown[1],Tan[1],,Sith Empire[1],,
Dorn Gestros,,,,Human[1],Male[1],,,,,,,,,
Suarl Getelles,,,,Human,Female,,,,,,,Imperial Remnant,,
Tol Getelles,,,,Human,Male,,,,,,,Galactic EmpireImperial RemnantFel Empire[source?],,
Aven Geth,Dromund Kaas,3662 BBY[1],,Human,Male,,,Black,Brown,Fair,,Sith EmpireImperial Military,,
Getzo,,,,Human[1],Male[1],,,Dark brown[1],Blue[1],Tan[1],,,,
Malindin Gevarak,Ord Mantell[1],,,Human[1],Male[1],,,,,,,,,
Pagda Gevtes,Exocron,,,Human,Male,,,,,,,Devisors,,
Gezda,,,,Human,Male,,,Brown,Dark Blue,Tan,,Sith EmpireMandalorians,,
GG-15-7,,,,Human,Male,,,,,,,Galactic Empire,,
Ghadi,,,,Human[1],Male[1],,,Gray[2],Brown[2],Fair[2],,Galactic Empire[1]Imperial Officer Corps[2],,
Pra'Thima Ghan'ta,,,,Human,Female,,,Black,,Fair,,Galactic RepublicJedi Order,,
Zam Ghanol,,,,Human,Female,,,Gray,,,,Erli Prann,,
Trisdin Gheer,Hapes,,"27 ABY, Hapes",Human,Male,,,,Blue,,,Ni'Korish,,
Fasald Ghem,Vannix,,,Human,Female,,,Dark,Dark,,,New Republic,,
Ghenli,,,,Human[1],Male[1],,,Brown[1],Black[1],Pale[1],,,,
Dhagon Ghent,Onderon (immigrated)[1],,,Human[1],Male[1],,,,Blue[1],Light[1],,formerly the Mandalorian Neo-Crusaders[1]Unofficially The Galactic Republic (informant)[1],,
Nas Ghent,,,,Human,Male,,,Reddish brown,Brown,Light,,Confederacy of Independent SystemsConfederate NavyGalactic EmpireImperial NavyBlack Eight Squadron,,
Gherant,,,"4 ABY,[1] Executor, Endor system[2]",Human[2],Male[2],,,Brown[2],Blue[2],Light[2],,Galactic Empire[2]Imperial Navy's officer corps[2],,
Sunder Ghettz,,,"During the Cold War, Dromund Kaas[1]",Human[1],Male[1],,,Brown[1],Brown[1],Light[1],,Sith Empire[1],,
Ghia,Bestine IV,,,Human,Female,,,Dark Green,,,,Alliance to Restore the RepublicJabba Desilijic Tiure's criminal empire,,
Ghorin,,,"0 ABY,[1] Plooriod III[2]",Human[2],Male[2],,,Black[2],Blue[2],Light[2],,Galactic Empire[2],,
Ghundrak,,,,Human,Male,,,,,,,Galactic Empire,,
Ghurn,,,,Human,Male,,,Gray,Gray,,,Galactic Republic,,
Klin-Fa Gi,Bonadan,,,Human,Female,,,Brown,Black,,,New Jedi OrderNew RepublicGalactic Federation of Free Alliances,,
Sha'a Gi,Ord Biniir[1],,"22 BBY (13:9),[2] Hypori[3]",Human[3],Male[3],1.85 meters[1],,Brown[3],Black[3],Light[3],,Jedi Order[3]Galactic Republic[3],Daakman Barrek[1],
Gianna,,,,Human[1],Female[1],,,Brown[1],Blue[1],Fair[1],,,,
Gib,,,,Human[1],Male[1],,,White[1],Blue[1],Fair[1],,,,
Gibb,Prishardia,,,Human,Male,,,,,,,,,
Gideon,,,,Human[1],Male[1],1.83 meters (6ft)[2],,"Black, graying[1]",Dark[1],Dark[1],,Galactic Empire[3]Imperial Security Bureau[3]Gideon's Imperial remnant[1],,
Gideon  (spacer),,,,Human[1],Male[1],,,,,,,,,
Mils Giel,,,,Human[1],Male[1],,,Black[1],Blue[1],,,Galactic Empire[1]Imperial Navy[1],,
Gift,Frozen moon,,41 ABY,Human,Male,,,,,,,Community,,
Giiedt,,,0 ABY,Human,Male,,,,,,,Galactic Empire,,
Micah Giiett,,,"33 BBY (2), Yinchorr[1]",Human[1],Male[1],,,Black[1],Brown/green[1],Light brown[1],,Jedi Order[1]Jedi High Council[1]Galactic Republic[1],,Bultar Swan[2]
Gil  (prince),Technology-deficient planet,,,Human,Male,,,Blond,Yellow,Fair,,,,
Big Gil,,,,Human[1],Male[1],,,Brown[1],Brown[1],Light[1],,,,
Gilada,,,"Between 3643 BBY and 3630 BBY, Hoth[1]",Human[1],Female[1],,,Brown[1],Orange[1],Light[1],,Jedi Order[1],,
Mij Gilamar,,,,Human,Male,,,Gray (formerly brown),Gray,,,MandaloriansCuy'val DarGalactic Republic,,
Gilflyn,Corellia,,,Human,Male,,,,,,,Jedi Order (formerly)Dark Jedi,,
Yamin Gilla,,,,Human,Male,,,,,,,Sentient Beings Opposing Violence,,
Gillehspy,,,,Human,Male,,,Brown,Green,Light,,Galactic EmpireImperial Navy,,
Nahani Gillen,Uyter[1],,"34 ABY, Hosnian Prime[2]",Human[1],Female[1],,,Blonde[1],Blue[1],Fair[1],,New Republic[1]Galactic Senate[1],,
Samuel Tomas Gillespee,,,,Human[1],Male[2],,,Brown[3],Blue[3],Light[3],,Smugglers' Alliance[2],,
Gilling,,,"0.5 ABY, Gepparin",Human,Male,,,,,,,Galactic EmpireImperial Security Bureau,,
Nolan Gillmunn,Jabiim,,,Human[1],Male[1],,,Brown[1],Brown,Light,,Jabiimi Loyalists[1]Alliance to Restore the Republic,,
Orliss Gillmunn,Jabiim,,"21 BBY, Jabiim",Human,Male,,,Brown,Green,Light,,Galactic Republic (Formerly)Jabiimi Loyalists,,
Gilly,,,"18 BBY,[1] Coruscant[2]",Human[2],Male[2],,,,,,,The Erased[2],,
Gilroh,,,,Human[1],Male[1],,,Brown[1],Brown[1],Tan[1],,Galactic Republic (formerly)[1]Republic Military (formerly)[1],,
Gimm  (lieutenant),,By 24 BBY[1],,Human[2],Male[3],,,,,,,Gimm's family[3]Galactic Empire[3]Royal Imperial Academy[3]Skystrike Academy[3]Imperial Starfighter Corps[3],,
Qan Gindoch,Tralfin[1],28 BBY[1],,Human[1],Male[1],1.75 meters[1],80 kilograms[1],,,,,Pendor Gyrr[1],,
Ginger,,,"1000 BBY, Ruusan[1]",Human,Male[1],,,Red[1],Blue[1],Light[1],,Jedi Order[1]Army of Light[1]Galactic Republic[1],,
Lexia Ginorra,,,,Human[1],Female[1],,,,,,,Jedi Order (Formerly)[1]Galactic Republic (Formerly)[1],Lexia Ginorra's master[1],
Peert Ginzork,,,,Human[1],Male[1],,,,,,,Galactic Empire[1]Imperial Army[1]The Shield[1]Alliance to Restore the Republic[1]Alliance Intelligence[1],,
Dara Gion,Bacrana[1],,,Human[1],Female[1],,,,,,,Alliance to Restore the Republic[1],,
User:Pipalicious/Workbench1,,,,Human[1],Male[1],,,Brown[2],Crystal blue[3],Light[2],,Jedi Order[1]Jedi High Council[4]Galactic Republic[1],Rana Kant[2],Vernestra Rwoh[1]
Stellan Gios,,,"230 BBY,[1] Starlight Beacon, Eiram[2]",Human[3],Male[3],,,Brown[4],Crystal blue[5],Light[4],,Jedi Order[3]Jedi High Council[6]Galactic Republic[3]Red Group[6],Rana Kant[4],Vernestra Rwoh[3]
Gira,,,Between 19 BBY–1 BBY[1],Human[2],Male[2],,,Red[2],Blue[2],Light[2],,Jedi Order[2],,
Aitalla Girard,Alderaan[1],,"During the Cold War, Alderaan[1]",Human[1],Female[1],,,Black[1],Brown[1],Fair[1],,House Girard[1]House Thul[1]Sith Empire[1],,
Heitor Girard,Alderaan[1],,"During the Cold War, Alderaan[1]",Human[1],Male[1],,,,,,,House Girard[1]House of Thul[1]Sith Empire[1],,
Norn Girard,Alderaan,,,Human,Male,,,,Brown,Tan,,House Girard,,
Raffid Girard,Alderaan[1],,"During the Cold War, Alderaan[1]",Human[1],Male[1],,,,,,,House Girard[1]Sith Empire[1],,
Zacar Girard,Alderaan[1],,"During the Cold War, Alderaan[1]",Human[1],Male[1],,,Dark[1],Dark brown[1],Tan[1],,House Girard[1]House of Thul[1]Sith Empire[1],,
Heol Girdun,,,,Human[1],Male[1],,,,,,,New Republic[1]New Republic Intelligence[1]Galactic Federation of Free Alliances[1]Coruscant Security Force[2]Galactic Alliance Guard[1],,
Jes Gistang,,,"c. 137 ABY, Borosk[1]",Human (Corellian)[1],Female[1],,,Red[1],Blue[1],Light[1],,Darth Krayt's Galactic Empire[1]Joker Squad[1],,
Gistol,,,,Human[1],Male[1],,,,,,,Galactic Empire[1]Imperial Security Bureau[1],,
Gita,,,,Human[1],Female[1],,,Black[2],Blue[2],Light[2],,Alliance to Restore the Republic[2]Beilert Valance's crew[3],,
Githany,,,"1000 BBY (965BrS), Ruusan[1]",Human[1],Female[1],,,Black[2],Green[2],Light Brown[2],,Jedi Order (Formerly)[1]Galactic Republic (Formerly)[1]Brotherhood of Darkness[1],Handa (Jedi Master)[1],Darth Bane (briefly)[1]Darovit[3]
Davon Gitta,,,,Human,Male,,,,,,,Desilijic kajidic,,
Givens,,,,Human[1],,,,,,,,Galactic Empire[1],,
Givens  (stormtrooper),,,"1 BBY, AX-456",Human,Male,,,,,,,Galactic EmpireStormtrooper Corps,,
Gixsa,Corellia,,,Human,Male,,,,Brown,Light,,Galactic RepublicCorellian defenders,,
Uv Gizen,,,,Human[source?],Male,,,,,,,Galactic Republic,,
Gizman,Tatooine[source?],,,Moggonite hybrid[1],Male[2],3 meters[source?],,Black[2],,,,Jabba Desilijic Tiure's criminal empire[3],,
GJ-49-8,,,,Human,Male,,,,,,,Galactic Empire,,
Gjaddia,,,,Human[1],Male[1],,,,,,,,,
Glaennor,,,,Human,Female,,,,,,,Alliance to Restore the RepublicNew RepublicBureau of Scouting and Exploration Services,,
Glaive  (Jedi),,,"22 BBY (13:7 GrS), Ohma-D'un[1]",Human[1],Male[1],,,Brown (Shaved bald)[1],Brown[1],Light[1],,Jedi Order[1]Galactic Republic[1],,Zule Xiss[1]
Gland,,,"3 ABY, Abridon",Human,Male,,,,,,,Galactic EmpireTulon's task force,,
Den Sait Glass,Renatasia system[1],,"3 BBY, Oseon system[1]",,,,,,,,,Renatasian Confederation[1],,
Glaucus  (Human),,68 BBY—63 BBY[1],,Human[2],Male[2],1.7 meters[2],,Greying[2],,,,Galactic Empire[2]Imperial Navy[2],,
Modigal Glave,,,,Human,Male,,,,,,,Galactic EmpireStormtrooper CorpsStorm commandos,,
Agmor Glayyd,Ammuud[1],,"c. 2 BBY,[2] Ammuud[1]",Human[1],Male[3],,,,,,,House Glayyd[3],,
